GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
TARDBP,-0.014810999999999996,0.8389141084949407,0.9790855625976205,0.009179353405981396,False
C6orf221,-0.0119,0.839,0.9790855625976205,0.009179353405981396,False
HMBS,-0.0132,0.839,0.9790855625976205,0.009179353405981396,False
KAT5,-0.0155,0.839,0.9790855625976205,0.009179353405981396,False
PARD6A,0.0376,0.839,0.9790855625976205,0.009179353405981396,False
OR1F2P,-0.158,0.839,0.9790855625976205,0.009179353405981396,False
IFIH1,0.0192,0.839,0.9790855625976205,0.009179353405981396,False
PTH2,0.0374,0.839,0.9790855625976205,0.009179353405981396,False
RAB6A,0.0173,0.839,0.9790855625976205,0.009179353405981396,False
C18orf12,0.0823,0.839,0.9790855625976205,0.009179353405981396,False
TMEM216,0.0244,0.839,0.9790855625976205,0.009179353405981396,False
FOLR4,-0.136,0.839,0.9790855625976205,0.009179353405981396,False
MSX2,0.0939,0.839,0.9790855625976205,0.009179353405981396,False
XLOC_002749,0.0619,0.839,0.9790855625976205,0.009179353405981396,False
EPB41L2,-0.0272,0.839,0.9790855625976205,0.009179353405981396,False
ATXN2L,0.011666666666666665,0.8390137965440906,0.9790855625976205,0.009179353405981396,False
EIF1AX,0.0464,0.83907691590584,0.9790855625976205,0.009179353405981396,False
DCAKD,-0.1278,0.8391859436647128,0.9790855625976205,0.009179353405981396,False
STARD9,-0.07064999999999999,0.839431564974689,0.9790855625976205,0.009179353405981396,False
XLOC_003385,0.08220000000000001,0.8394519548699709,0.9790855625976205,0.009179353405981396,False
ABCC13,0.025,0.8394558283783353,0.9790855625976205,0.009179353405981396,False
FLJ14186,-0.12219142857142859,0.8398756796763462,0.9790855625976205,0.009179353405981396,False
NXPH3,-0.3593,0.8398950156522709,0.9790855625976205,0.009179353405981396,False
TMEM225,-0.0119,0.84,0.9790855625976205,0.009179353405981396,False
GPR78,0.0776,0.84,0.9790855625976205,0.009179353405981396,False
LOC100132244,-0.0836,0.84,0.9790855625976205,0.009179353405981396,False
MRPL18,-0.0224,0.84,0.9790855625976205,0.009179353405981396,False
HCK,0.147,0.84,0.9790855625976205,0.009179353405981396,False
OR2F1,-0.0955,0.84,0.9790855625976205,0.009179353405981396,False
MED16,0.0381,0.84,0.9790855625976205,0.009179353405981396,False
COPS4,-0.0307,0.84,0.9790855625976205,0.009179353405981396,False
SIAH3,0.0116,0.84,0.9790855625976205,0.009179353405981396,False
PDZD3,0.0227,0.84,0.9790855625976205,0.009179353405981396,False
TUSC5,0.101,0.84,0.9790855625976205,0.009179353405981396,False
