GENE_SYMBOL,logFC,P.Value,FDR
TUBA3D,-0.309,0.00615288,0.6052623518666667
ZNF142,0.308,0.00617027,0.6052623518666667
PDE5A,0.387,0.00619994,0.6054817510619469
GREM1,0.8744999999999999,0.013701313401086494,0.7936072936649214
PCGF5,-0.1264,0.03783047163865677,1.0
FBP1,-0.313,0.00630247,0.6081680014048026
HPVC1,-0.974,0.00630953,0.6081680014048026
FAM83E,0.377,0.006363,0.6105990130434783
MT1H,-0.18515,0.023181334999326526,0.8997062222005099
GCC2,-0.10633333333333335,0.028345903832219622,0.9422024751218664
PCDH20,-0.917,0.00643801,0.6131305782857143
C9orf103,-0.36,0.00645368,0.6131305782857143
PGM2,0.331,0.00652968,0.6131305782857143
SLC30A10,-0.404,0.006547,0.6131305782857143
C17orf104,-0.20220000000000005,0.04393450567916953,1.0
TMEM204,0.355,0.00669878,0.6131305782857143
SFTPD,-0.312,0.00677801,0.6131305782857143
ASAP2,0.473,0.00680608,0.6131305782857143
TSEN2,0.44585,0.03367463472334328,0.9911983102000002
ARRB2,0.302,0.00685758,0.6138815955676463
CHIT1,0.4660066666666667,0.0899394427736971,1.0
BCAS1,0.501,0.001140269132053075,0.25680489809738183
MOB3B,-0.314,0.02388554674974336,0.9042609844425387
CSF1,0.3786666666666667,0.0057554507026936425,0.5935913666315484
HMGCL,-0.2275,0.031090972439981497,0.9699483245722299
CDH6,0.359,0.021104945621679302,0.8845043916838451
NPM2,0.253,0.0015917008906691148,0.30358470232758616
CLCNKB,0.438,0.00699478,0.6184732116666667
CYP4F8,0.454,0.00700605,0.6184732116666667
ENTPD2,-0.518,0.00701584,0.6184732116666667
BIRC5,0.386,0.00705375,0.6184732116666667
LINC00085,-0.923,0.00706154,0.6184732116666667
NUDT16,-0.249,0.00713602,0.6200314848648648
GXYLT2,1.12,0.00720523,0.6200314848648648
MTHFD1L,-0.10746666666666665,0.09240229670416278,1.0
RFESD,-0.295,0.00722729,0.6200314848648648
GIMAP6,0.591,0.00727598,0.6200314848648648
